Date,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing excluding household energy,"Furnishings, household equipment and services",Health,Transport excluding automotive fuel,Communication,Recreation and culture,Education,Insurance and financial services,Energy
2005-09-30,0.0,0.1570756053387906,-0.09332570920766228,0.7724604516987182,-0.06577293046177356,0.009645405986117572,-0.02629307445345877,-0.056807415635772705,-0.006334974054550593,0.32216807044209594,0.1391579952238822,0.0
2005-12-31,0.0,0.20715490152737753,-0.07046484528141736,0.7703755177377953,-0.0192531725328874,0.06872878426888754,0.10854948358903224,-0.038828845047254416,-0.006848727515950448,0.3504734657033675,0.22333068396624223,0.0
2006-03-31,0.0,0.3628187713528162,0.04998210929322328,0.7352829585788071,0.16402166604606708,0.5493889783096068,0.30071384816105884,0.04496616295436781,0.4642281093214944,0.5777149083027158,0.0013697701175713756,0.0
2006-06-30,0.0,0.32732480251575685,0.09793009593865451,0.9484332669492884,0.21765446447256398,0.4509631970432993,0.2244992197281459,0.0328335129712086,0.20513036691182948,0.41451737152913426,0.11527920318782178,0.0
2006-09-30,0.0,0.3194243212786376,0.07771360645372329,1.056356292392031,0.43363707424894227,0.5305266344972841,0.3312042972433194,0.056590080543858765,0.4869219054198606,0.3300128078831952,0.0736007686615621,0.0
2006-12-31,0.0,0.3545742481027744,-0.004984804072727561,0.9084568997033261,0.19757121413823836,0.5491474560891523,0.3254487246220422,0.050580595955350055,0.4181797905110982,0.27026370015534273,0.11955221492776777,0.0
2007-03-31,0.0,0.32057412104157645,0.0224480330937193,0.9900483751447473,0.22895301376785615,0.47968379939902894,0.27380560316044966,0.006013323465533718,0.2837057014794515,0.185299535245556,0.0748873226613613,0.0
2007-06-30,0.0,0.2860477249957065,0.08503775068733337,1.072673573970616,0.4420073829710034,0.5007346554577586,0.29085585067323466,0.012760542945114804,0.28601739086991806,0.19373138850663385,0.2598880736626526,0.0
2007-09-30,0.0,0.3157509354523097,0.06922406789425023,1.634570877676103,0.5315448101285495,0.5269242821929645,0.3600001756117641,0.0036466608761659748,0.49165711634609494,0.16058958604967083,0.49296849704406237,0.0
2007-12-31,0.0,0.4550554939378123,0.05321519604177415,1.3579481958911845,0.4187114450104086,0.48531449404230065,0.24238152444888555,0.004499741277531473,0.20571204927906558,0.2616017257968974,0.5360033091720494,0.0
