,Food and non-alcoholic beverages,Alcohol and tobacco,Clothing and footwear,Housing excluding household energy,"Furnishings, household equipment and services",Health,Transport excluding automotive fuel,Communication,Recreation and culture,Education,Insurance and financial services,Energy
2005-09-30,3.1319935794962506,4.003755249543306,0.5644578268217515,5.309034388568867,1.4328130032391195,-4.4033173319989904,-0.2956966267560701,-2.767998059200083,4.915687471634267,0.09552238125356549,0.20518074817905685,31.186795458921534
2005-12-31,7.31412199612953,1.9075468786566407,-0.6012910759284895,3.03854188323045,2.548657622703532,-4.094549612695908,-1.002513634663449,-2.8845827043812444,0.10487676078807517,0.38240874176174167,6.2192336178994445,-1.4063385785176075
2006-03-31,5.959645248459222,5.163340978531572,-9.797987885919346,1.8109282869695376,-1.4554663132061219,18.748021350283484,5.118172008569233,1.7472705125893828,2.59262965320437,24.480464543705093,-2.3342054204821605,6.5452550863363435
2006-06-30,17.394047643252076,3.536353628198352,3.513576142979713,3.878824558756988,3.0775151599697237,10.018037726440232,0.8586149110365149,0.3994668798189327,-1.5529664979489488,0.18070923787789628,4.822572187758012,24.370313498535555
2006-09-30,9.478211808303882,2.3268369675131684,0.4510269102538267,4.176330988192833,5.308830324387115,-2.851712041273702,4.09592289466032,2.446165241485021,3.12001489552296,-3.4736673635204496,1.4120988581986404,1.651895639289358
2006-12-31,1.98314637896575,3.0151557759350966,-1.6658683980857458,2.406854217040877,0.721460617065417,-3.2160783313325614,0.5533675029237184,1.8611881489112747,5.343107637702849,0.09108504476489365,1.676831081332919,-24.763734589748644
2007-03-31,-8.911597909763124,3.458892293276339,-1.3074390126198154,3.452460456177464,-3.3431681134877267,14.967358873027404,1.321905748124852,0.757790773168221,-2.5859060994097405,21.582242785558847,-0.662139753938451,6.45157940042258
2007-06-30,7.102798103891472,3.4292415067354476,5.678335016836811,4.306076688642024,6.030082325648878,8.755064726830874,2.4561224501651546,0.6574599829545003,-1.8933770264278338,0.5211715353653279,3.502532948991277,19.377182388763913
2007-09-30,7.91835431092438,2.37110384113679,1.2654840877073692,6.392329085560511,-9.104310823491101,-2.1634315672773963,2.5813450838717555,0.032742601944080185,5.657379565391252,-3.8395490338766436,8.357986795491378,-1.6766653784817898
2007-12-31,-0.6223724688929178,5.217296066622312,0.9756025366934873,5.037886575305661,3.170164454405544,-4.069652364926313,1.6210630967383954,0.06548788254787663,3.414076065910421,0.08746036429569948,8.736349800354514,17.334284087467488
2008-03-31,8.77196787373411,4.240487936997339,-9.425066078951394,5.7878598418790395,-2.616416913163744,17.01270356227711,1.9310234599565712,-0.22891704634508958,-1.3104661725963695,22.280839467945455,6.943830866022305,22.56033636568331
2008-06-30,-0.18341607708394214,7.600829923728614,12.472154713808292,5.011548787311604,6.845241690995896,9.762625868601171,3.3134573177773463,0.2622519490942832,-1.0125219084275439,0.16635471557122639,15.99798561593051,19.48197485540517
2008-09-30,5.815096252351726,5.890428572426409,-2.746241212595013,9.584781984884017,-3.543052925811774,-0.8778001787576817,2.4729721162701113,0.91953418334767,5.457916867949342,-1.897440186680155,7.011701811919924,13.346096241007066
