period,0163
1946,
1947,
1948,82.7
1949,32.0
1950,-6.9
1951,16.4
1952,5.0
1953,6.5
1954,6.5
1955,-1.1
1956,0.3
1957,3.1
1958,-0.4
1959,1.0
1960,3.6
1961,5.3
1962,6.8
1963,7.6
1964,3.9
1965,6.6
1966,5.1
1967,4.0
1968,5.3
1969,5.2
1970,7.7
1971,6.1
1972,4.5
1973,11.7
1974,24.5
1975,11.8
1976,9.3
1977,8.1
1978,3.8
1979,3.6
1980,8.0
1981,4.9
1982,2.7
1983,1.9
1984,2.2
1985,2.1
1986,0.4
1987,-0.2
1988,0.5
1989,2.3
1990,3.1
1991,3.3
1992,1.6
1993,1.1
1994,0.5
1995,-0.3
1996,0.0
1997,1.6
1998,0.7
1999,-0.4
2000,-0.9
2001,-0.9
2002,-1.1
2003,-0.3
2004,0.0
2005,-0.4
2006,0.3
2007,0.1
2008,1.6
2009,-1.5
2010,-0.8
2011,-0.3
2012,0.0
2013,0.5
2014,3.3
2015,1.0
2016,-0.1
2017,0.6
2018,1.2
2019,0.6
2020,0.0
2021,-0.3
2022,3.0
2023,3.8
2024,3.2
2025,3.7
