trading_class,expiration,strike,type,bid,ask,last,close,conId,spot_price,snapshot_date,r,q,expiry_date,ttm,mid,rate,div_yld,spread_pct,label,model_price,error
01,20260813,700.0,call,160.5,204.3,185.75,178.72,854608925,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,182.4,0.0291,0.0079,24.013157894736846,Aug 2026,180.99927977968835,-1.4007202203116549
01,20260813,702.5,call,157.0,202.1,,176.55,883683631,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,179.55,0.0291,0.0079,25.1183514341409,Aug 2026,178.74314027188362,-0.8068597281163932
01,20260813,705.0,call,154.85,199.9,,174.37,854608932,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,177.375,0.0291,0.0079,25.398167723749125,Aug 2026,176.49391793424167,-0.8810820657583349
01,20260813,707.5,call,152.8,197.7,,172.25,883683636,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,175.25,0.0291,0.0079,25.620542082738933,Aug 2026,174.25180284034462,-0.9981971596553763
01,20260813,710.0,call,150.7,195.55,,170.05,854608942,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,173.125,0.0291,0.0079,25.906137184115533,Aug 2026,172.01698981393002,-1.1080101860699756
01,20260813,712.5,call,148.65,193.25,183.0,167.91,883683646,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,170.95,0.0291,0.0079,26.089499853758404,Aug 2026,169.7896785005515,-1.1603214994484858
01,20260813,715.0,call,146.55,190.95,,165.77,854608949,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,168.75,0.0291,0.0079,26.3111111111111,Aug 2026,167.57007343540906,-1.179926564590943
01,20260813,717.5,call,144.65,188.75,181.15,163.65,883683654,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,166.7,0.0291,0.0079,26.45470905818836,Aug 2026,165.3583841068333,-1.3416158931666757
01,20260813,720.0,call,142.45,186.7,,161.53,854608959,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,164.575,0.0291,0.0079,26.887437338599426,Aug 2026,163.1548250147671,-1.420174985232876
01,20260813,722.5,call,140.6,184.45,176.85,159.42,883683660,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,162.52499999999998,0.0291,0.0079,26.98046454391632,Aug 2026,160.9596157235715,-1.5653842764284889
01,20260813,725.0,call,138.6,182.45,,157.32,854608967,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,160.52499999999998,0.0291,0.0079,27.316617349322534,Aug 2026,158.7729809084533,-1.7520190915466856
01,20260813,727.5,call,136.75,180.25,172.65,155.23,883683671,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,158.5,0.0291,0.0079,27.444794952681388,Aug 2026,156.59515039471592,-1.9048496052840846
01,20260813,730.0,call,134.6,178.1,,153.15,854608973,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,156.35,0.0291,0.0079,27.82219379597058,Aug 2026,154.4263591890484,-1.9236408109515821
01,20260813,732.5,call,132.6,175.85,168.4,151.09,883683677,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,154.225,0.0291,0.0079,28.043443021559412,Aug 2026,152.26684750190338,-1.9581524980966094
01,20260813,735.0,call,130.8,173.75,,149.03,854608982,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,152.275,0.0291,0.0079,28.20554917090789,Aug 2026,150.11686076009352,-2.1581392399064896
01,20260813,737.5,call,128.5,171.6,164.25,146.98,883683684,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,150.05,0.0291,0.0079,28.723758747084297,Aug 2026,147.97664960857026,-2.0733503914297557
01,20260813,740.0,call,126.6,169.45,,144.95,854608988,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,148.02499999999998,0.0291,0.0079,28.947812869447727,Aug 2026,145.84646990035014,-2.1785300996498336
01,20260813,742.5,call,124.7,167.25,,142.92,883683694,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,145.975,0.0291,0.0079,29.14882685391334,Aug 2026,143.72658267345977,-2.2484173265402205
01,20260813,745.0,call,122.75,165.05,,140.91,854608997,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,143.9,0.0291,0.0079,29.395413481584438,Aug 2026,141.6172541137885,-2.282745886211501
01,20260813,747.5,call,120.8,162.9,154.1,138.91,883683701,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,141.85,0.0291,0.0079,29.679238632358132,Aug 2026,139.51875550254965,-2.331244497450342
01,20260813,750.0,call,120.3,160.8,,136.92,854609007,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,140.55,0.0291,0.0079,28.815368196371406,Aug 2026,137.431363147164,-3.118636852836005
01,20260813,752.5,call,117.05,158.7,,134.94,883683711,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,137.875,0.0291,0.0079,30.20852221214868,Aug 2026,135.3553582942123,-2.5196417057877056
01,20260813,755.0,call,115.35,156.8,,132.97,854609012,872.49,2026-07-30,0.0291,0.0079,2026-08-13,0.038356164383561646,136.075,0.0291,0.0079,30.461142752158754,Aug 2026,133.29102702309947,-2.7839729769005146
